"decimallongitude","decimallatitude","year","stateprovince"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64159,33.74901,2015,"Oklahoma"
-94.64198,33.73319,2015,"Oklahoma"
-94.64198,33.73319,2015,"Oklahoma"
-94.76373,33.78341,2015,"Oklahoma"
-94.83175,35.67467,2015,"Oklahoma"
-94.82394,35.70894,2015,"Oklahoma"
-95.31754,34.99551,2015,"Oklahoma"
-95.31754,34.99551,2015,"Oklahoma"
-95.31754,34.99551,2015,"Oklahoma"
-95.31754,34.99551,2015,"Oklahoma"
-95.31754,34.99551,2015,"Oklahoma"
-95.4439,35.01926,2015,"Oklahoma"
-95.4439,35.01926,2015,"Oklahoma"
-95.35221,34.53188,2015,"Oklahoma"
-94.74407,34.68206,2015,"Oklahoma"
-97.426609,35.243089,2015,"Oklahoma"
-95.31754,34.99551,2015,"Oklahoma"
-97.43267,35.52229,2015,"Oklahoma"
-97.47117,35.51554,2015,"Oklahoma"
-97.47117,35.51554,2015,"Oklahoma"
-97.47117,35.51554,2015,"Oklahoma"
-97.22258,35.0432,2015,"Oklahoma"
-99.72118,35.88815,2006,"Oklahoma"
-99.72118,35.88815,2006,"Oklahoma"
-111.0906389,31.4006667,1988,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-111.4764167,31.5691389,1999,"Arizona"
-94.8006,36.3834,2012,"Oklahoma"
-80,37.3483,1974,"Virginia"
-73.16518,41.71356,2002,"Connecticut"
-73.212899,41.722362,2013,"Connecticut"
-72.91733,41.45292,2006,"Connecticut"
-73.4547,41.3778,2001,"Connecticut"
-71.79663,43.69444,2001,"New Hampshire"
-95.6008,33.1383,1936,"Texas"
-72.53,41.9156,2008,"Connecticut"
-92.233817,37.60105,2007,"Missouri"
-73.332296,41.307409,2005,"Connecticut"
-73.0089,41.3525,1975,"Connecticut"
-94.8278,36.4608,2012,"Oklahoma"
-75.7061,36.0644,1938,"North Carolina"
-72.1232,41.351,2003,"Connecticut"
-73.129124,41.252679,2008,"Connecticut"
-82.2982,36.1764,2004,"Tennessee"
-72.6307,41.33665,2007,"Connecticut"
-75.7061,36.0644,1938,"North Carolina"
-94.8006,36.3834,2012,"Oklahoma"
-85.9072,35.0286,2012,"Tennessee"
-73.0089,41.3525,1936,"Connecticut"
-73.1311,41.2528,2007,"Connecticut"
-80,37.3483,1974,"Virginia"
-73.0089,41.3525,1975,"Connecticut"
-72.86,41.3908,1968,"Connecticut"
-71.79663,43.69444,2001,"New Hampshire"
-75.7061,36.0644,1938,"North Carolina"
-87.268,36.8222,2012,"Kentucky"
-73.4547,41.3778,2001,"Connecticut"
-85.41864,35.21399,2014,"Tennessee"
-82.3536,28.9906,2011,"Florida"
-72.1232,41.351,2003,"Connecticut"
-73.283486,41.246283,2004,"Connecticut"
-95.6008,33.1383,1936,"Texas"
-71.84202,43.71738,2001,"New Hampshire"
-77.9931,35.35,1934,"North Carolina"
-76.451283,42.47935,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.46925,42.450562,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.46925,42.450562,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.46925,42.450562,2004,"New York"
-76.451283,42.47935,2004,"New York"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-76.451283,42.47935,2004,"New York"
-76.453202,42.480449,2004,"New York"
-76.453202,42.480449,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.453202,42.480449,2004,"New York"
-76.453202,42.480449,2004,"New York"
-76.453202,42.480449,2004,"New York"
-76.451283,42.47935,2004,"New York"
-76.453202,42.480449,2004,"New York"
-76.453202,42.480449,2004,"New York"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-95.6156,29.1411,1937,"Texas"
-72.8156,41.2667,1965,"Connecticut"
-95.6156,29.1411,1937,"Texas"
-81,25.7739,1932,"Florida"
-72.9286,41.3081,1911,"Connecticut"
-73.0089,41.3525,1930,"Connecticut"
-72.9286,41.3081,NA,"Connecticut"
-111.00375,32.1338611,NA,"Arizona"
-72.9286,41.3081,NA,"Connecticut"
90.075,29.9544,NA,"Louisiana"
-82.3942,34.8525,NA,"South Carolina"
-73.1172,41.4339,NA,"Connecticut"
-99.199728,30.729825,1967,"Texas"
-99.215108,30.73983,1967,"Texas"
-87.900369,41.709113,1966,"Illinois"
90.351281,45.783632,2000,"Missouri"
-81.566478,27.917783,1963,"Florida"
